     Time(s)     Power(C)        TB(C)        TC(C)        TD(C)        TE(C)   Ambient(C)
      528.39         6.78         9.86         9.73        25.30         9.85        24.10
      529.50         6.78         9.86         9.73        25.30         9.85        24.10
      530.64         6.94        10.01         9.73        25.15        10.00        24.10
      531.76         6.78        10.01         9.73        25.15        10.00        24.15
      532.88         6.94         9.86         9.73        25.15         9.85        24.15
      534.01         6.94        10.01         9.73        25.15        10.00        24.15
      535.14         6.78        10.01         9.73        25.15        10.00        24.05
      536.26         6.94        10.01         9.87        25.15        10.00        24.10
      537.39         6.94        10.01         9.87        25.15        10.00        24.10
      538.51         6.94        10.01         9.73        25.30        10.00        24.10
      539.64         6.94        10.01         9.73        25.30        10.00        24.15
      540.75         6.94        10.01         9.87        25.15        10.00        24.15
      541.89         6.94        10.01         9.87        25.30        10.15        24.15
